Id;Label;timeset;0;1;giantcomponent
55;Deafness;;disease;Ear,Nose,Throat;0
47;Leukemia;;disease;Cancer;0
114;Colon cancer;;disease;Cancer;0
45;Retinitis pigmentosa;;disease;Ophthamological;0
87;Diabetes mellitus;;disease;Endocrine;0
54;Cardiomyopathy;;disease;Cardiovascular;0
81;Mental retardation;;disease;Neurological;0
48;Blood group;;disease;Hematological;0
70;Obesity;;disease;Nutritional;0
137;Breast cancer;;disease;Cancer;0
223;Muscular dystrophy;;disease;Muscular;0
390;Charcot-Marie-Tooth disease;;disease;Neurological;0
220;Epilepsy;;disease;Neurological;0
325;Cataract;;disease;Ophthamological;0
68;Asthma;;disease;Respiratory;0
208;Complementary component deficiency;;disease;Immunological;0
213;Spinocereballar ataxia;;disease;Neurological;0
30;Alzheimer disease;;disease;Neurological;0
65;Hypertension;;disease;Cardiovascular;0
139;Prostate cancer;;disease;Cancer;0
185;Leigh syndrome;;disease;Neurological;0
202;Fanconi anemia;;disease;Multiple;0
302;Epidermolysis bullosa;;disease;Dermatological;0
364;Parkinson disease;;disease;Neurological;0
634;Thyroid carcinoma;;disease;Cancer;0
53;Myopathy;;disease;Muscular;0
86;Hemolytic anemia;;disease;Hematological;0
99;Myocardial infarction;;disease;Cardiovascular;0
117;Gastric cancer;;disease;Cancer;0
155;Lymphoma;;disease;Cancer;0
41;Anemia;;disease;Hematological;0
59;Pancreatic cancer;;disease;Cancer;0
130;Schizophrenia;;disease;Psychiatric;0
239;Thrombophilia;;disease;Hematological;0
285;Ehlers-Danlos syndrome;;disease;Connective tissue disorder;0
640;Spastic ataxia/paraplegia;;disease;Neurological;0
63;Severe combined immunodeciency;;disease;Immunological;0
125;Hypercholesterolemia;;disease;Metabolic;0
197;Ovarian cancer;;disease;Cancer;0
224;Hepatic adenoma;;disease;Cancer;0
236;Rheumatoid arthritis;;disease;Connective tissue disorder;0
414;Ectodermal dysplasia;;disease;Dermatological;0
420;Neuropathy;;disease;Neurological;0
448;Factor x deficiency;;disease;Hematological;0
822;Usher syndrome;;disease;Multiple;0
42;Cone dystrophy;;disease;Ophthamological;0
110;Long QT syndrome;;disease;Cardiovascular;0
122;Corneal dystrophy;;disease;Ophthamological;0
140;Spinal muscular atrophy;;disease;Muscular;0
146;Ichthyosis;;disease;Dermatological;0
186;Mitochondrial complex deciency;;disease;Multiple;0
266;Myasthenic syndrome;;disease;Muscular;0
324;Leber congenital amaurosis;;disease;Ophthamological;0
332;Hypothyroidism;;disease;Endocrine;0
411;Hirschsprung disease;;disease;Gastrointestinal;0
775;Renal cell carcinoma;;disease;Cancer;0
37;Coronary artery disease;;disease;Cardiovascular;0
120;Amyloidosis;;disease;Neurological;0
222;Osteoporosis;;disease;Bone;0
306;Epiphyseal dysplasia;;disease;Bone;0
367;Amyotrophic lateral sclerosis;;disease;Neurological;0
541;MODY;;disease;Endocrine;0
751;Dementia;;disease;Neurological;0
786;Pseudohypoaldosteronism;;disease;Endocrine;0
44;Macular dystrophy;;disease;Ophthamological;0
74;Spondyloepiphyseal dysplasia;;disease;Skeletal;0
109;Spherocytosis;;disease;Hematological;0
164;Renal tubular acidosis;;disease;Renal;0
187;Central hypoventilation syndrome;;disease;Respiratory;0
200;Melanoma;;disease;Cancer;0
215;Night blindness;;disease;Ophthamological;0
219;Ataxia;;disease;Neurological;0
245;Malaria;;disease;Immunological;0
327;Atrial fibrillation;;disease;Cardiovascular;0
384;Glioblastoma;;disease;Cancer;0
607;Macular degeneration;;disease;Ophthamological;0
661;Atopy;;disease;Immunological;0
736;Lipodystrophy;;disease;Metabolic;0
778;Bare lymphocyte syndrome;;disease;Immunological;0
940;Holoprosencephaly;;disease;Developmental;0
80;Renal tubular dysgenesis;;disease;Renal;0
119;Autoimmune disease;;disease;Immunological;0
121;Apolipoprotein deficiency;;disease;Metabolic;0
123;Hypertriglyceridemia;;disease;Metabolic;0
133;Systemic lupus erythematosus;;disease;Immunological;0
158;Migraine;;disease;Neurological;0
